問題編號,問題分類,常見問題,標準回答,適用產品線,常見提問者,備註
Q001,產品規格,LTP-3600W-AI 跟 LTP-2400W-EDGE 差在哪裡？,"主要差異如下：（1）功率：3600W vs 2400W；（2）效率：Titanium 96%+ vs Platinum 94%+；（3）輸入電壓：LTP-3600W-AI 僅支援 200-240VAC，LTP-2400W-EDGE 支援 100-240VAC 寬範圍；（4）適用場景：3600W 適合 AI 訓練/HPC，2400W 適合邊緣運算/推論。選型建議：AI 訓練選 3600W，邊緣部署選 2400W。",伺服器電源,業務人員、客戶 PM,高頻問題
Q002,產品規格,你們的電源供應器有哪些效率等級？,"光寶科技伺服器電源供應器提供三個效率等級：（1）80 PLUS Gold（92%+）：通用型伺服器，如 LTP-1600W-STD；（2）80 PLUS Platinum（94%+）：邊緣運算/電信級，如 LTP-2400W-EDGE、LTP-2000W-TELE；（3）80 PLUS Titanium（96%~97%+）：AI/HPC 高階應用，如 LTP-3600W-AI、LTP-3200W-HPC、LTP-4200W-AI-PRO。",伺服器電源,客戶工程師、採購,
Q003,產品選型,客戶要做 AI 推論，不是訓練，該推薦哪款？,"AI 推論的功耗通常低於訓練，建議推薦 LTP-2400W-EDGE。原因：（1）2400W 功率足以支援推論 GPU（如 NVIDIA L4、T4）；（2）寬範圍輸入 100-240VAC 適合邊緣部署環境；（3）Platinum 效率在推論負載下有最佳性價比。若客戶是大規模推論叢集（如 CSP），可考慮 LTP-3200W-HPC。",伺服器電源,業務人員,
Q004,產品選型,電信客戶需要什麼特殊規格？,"電信客戶建議推薦 LTP-2000W-TELE，特色：（1）NEBS Level 3 認證，符合電信機房嚴格環境要求；（2）超寬範圍輸入 100-277VAC，適應各國電網；（3）工作溫度 -40°C ~ 65°C，遠超一般伺服器電源；（4）SNMP 通訊介面支援電信級網管系統；（5）低噪音智慧風扇模式。",伺服器電源,業務人員、客戶,
Q005,技術支援,PMBus 2.0 跟 1.3 差在哪裡？,"PMBus 2.0 相較 1.3 的主要升級：（1）更高的通訊速率；（2）支援更多監控參數（如風扇轉速、溫度曲線）；（3）支援韌體遠端更新（OTA）；（4）增強的安全認證機制。LTP-3600W-AI 和 LTP-4200W-AI-PRO 採用 PMBus 2.0，適合需要精細管理的 AI 資料中心。",伺服器電源,客戶工程師,
Q006,技術支援,80 PLUS Titanium 認證到底能省多少電費？,"以 LTP-3600W-AI（Titanium 96%）對比 Gold 級（92%）為例，在滿載運行下：每台伺服器每年約可節省電費 NT$15,000-20,000（以台灣工業電價計算）。若一個機房有 1000 台伺服器，年省約 NT$15M-20M。Titanium 認證的電源在 50% 負載時效率更高（可達 97%+），而伺服器日常運行多在 40%-60% 負載區間，實際節省可能更可觀。",伺服器電源,客戶採購、IT 主管,
Q007,交期與供貨,目前 AI 伺服器電源的交期是多久？,"標準交期：（1）LTP-3600W-AI：6-8 週（因 AI 需求旺盛，建議提前下單）；（2）LTP-2400W-EDGE：4-6 週；（3）LTP-1600W-STD：3-4 週（庫存品常備）。大量訂單（>1000 台）建議提前 3 個月預訂，可鎖定產能。急單加價方案請聯繫業務窗口。",伺服器電源,客戶採購、業務,交期可能隨市場波動調整
Q008,交期與供貨,最小起訂量（MOQ）是多少？,"各產品線 MOQ：（1）伺服器電源：標準品 MOQ 100 台，客製品 MOQ 500 台；（2）LED 光電模組：標準品 MOQ 3000 pcs（一卷），客製品 MOQ 10000 pcs；（3）車用電子模組：依專案議定，通常 MOQ 5000 pcs。樣品需求：各產品線可提供 2-5 pcs 免費樣品（需簽署 NDA）。",全產品線,客戶採購,
Q009,LED 產品,你們有車規等級的 LED 嗎？,"有的。LOA-AUTO-3030 通過 AEC-Q102 車規認證，規格：（1）工作溫度 -40°C ~ 125°C；（2）耐振動/耐衝擊測試通過；（3）適用於車用頭燈、日行燈（DRL）、車內照明、儀表背光；（4）壽命 80,000 小時。目前已供貨多家 Tier 1 車燈供應商。如需詳細車規測試報告，請聯繫產品工程部門。",LED 光電模組,車廠 Tier 1、車燈廠,
Q010,LED 產品,UV-C 殺菌模組的殺菌效果如何？需要注意什麼？,"LOA-UVLED-3535 規格：（1）波長 275nm（UV-C 有效殺菌波段）；（2）殺菌率 ≥ 99.9%（距離 2cm、照射 10 秒）；（3）使用壽命 10,000 小時。注意事項：（1）UV-C 對人體有害，產品設計必須確保使用者不會直接暴露；（2）需搭配適當散熱設計，工作溫度不超過 60°C；（3）建議搭配光寶提供的參考電路設計。目前主要應用於空氣清淨機、淨水設備、醫療消毒。",LED 光電模組,家電廠、醫療設備商,需注意安全法規
Q011,比較競品,光寶的 AI 伺服器電源跟台達電比有什麼優勢？,"光寶科技在 AI 伺服器電源的差異化優勢：（1）功率密度：LTP-3600W-AI 達 85W/in³，LTP-4200W-AI-PRO 達 92W/in³，業界領先；（2）液冷整合：LTP-4200W-AI-PRO 支援液冷輔助散熱，適合下一代液冷機架；（3）通訊介面豐富：支援 PMBus 2.0 / I2C / UART / CAN Bus 多種介面；（4）交期優勢：光寶在台灣與中國均有產線，供貨彈性較高。建議業務人員以技術規格與交期服務做差異化，避免純價格競爭。",伺服器電源,業務人員,敏感資訊—僅限內部參考
Q012,售後服務,產品保固條款是什麼？,"光寶科技產品標準保固：（1）伺服器電源：出貨日起 3 年或 30,000 小時（以先到者為準）；（2）LED 光電模組：出貨日起 2 年；（3）車用電子模組：依客戶合約議定（通常 3-5 年）。保固範圍涵蓋：製造缺陷、材料瑕疵。不含：使用不當、超出規格操作、自然災害。RMA 流程：聯繫業務窗口 → 填寫 RMA 表單 → 寄回 → 7-10 工作天處理。",全產品線,客戶、業務,
