問題編號,問題分類,常見問題,標準回答,常見提問者,備註
HQ001,到職報到,新人報到當天要帶什麼？,"報到當天請攜帶：（1）身分證正本與影本 2 份；（2）最高學歷畢業證書正本與影本；（3）勞工退休金提繳申請書（到職前 HR 會 email 給您）；（4）郵局或銀行存摺影本（薪資入帳用）；（5）2 吋證件照 2 張；（6）體檢報告（到職前 2 週內，HR 會提供特約醫院資訊）；（7）前公司離職證明或服務證明。報到時間為早上 09:00，地點為內湖總部 1F 大廳，人資同仁會引導。",新人,
HQ002,到職報到,試用期多久？試用期內可以請假嗎？,"（1）試用期為 3 個月（到職日起算）。試用期間享有勞健保、團保等基本保障。（2）試用期內可請病假、事假（依勞基法規定），但不適用彈性工時與遠距工作。（3）試用期滿前 2 週，主管會進行考核面談，通過後正式任用。（4）試用期間離職需提前 3 日通知。",新人,
HQ003,請假,年假沒休完怎麼辦？,"當年度未休完的特休假，可於次年 3 月底前休畢。超過期限仍未休完者，依法折算工資（依未休日數 × 日薪發給）。建議及早規劃休假，避免年底集中請假影響工作。HR 系統會在每年 10 月起發送未休假提醒。",全體員工,
HQ004,請假,請假要提前幾天申請？,"各假別申請時限：（1）年假/特休：3 天前（急件當日申請需主管同意）；（2）病假：當日上班前 1 小時通知主管 + 事後 3 日內補假單；（3）事假：3 天前；（4）婚假：2 週前（需附結婚登記證明）；（5）喪假：事後 3 日內補假單（需附相關證明）；（6）產假/陪產假：1 個月前（或知悉日起儘速申請）。所有假別均在 HR 系統線上申請。",全體員工,
HQ005,薪酬,薪水幾號發？,"每月 5 日為發薪日（遇假日提前至前一個工作日）。薪資入帳銀行為員工指定之郵局或銀行帳戶。每月薪資單可在 HR 系統查詢及下載。年度扣繳憑單於次年 2 月底前發放。",全體員工,
HQ006,薪酬,調薪制度怎麼運作？,"（1）年度調薪：每年 4 月，依績效考核結果進行年度調薪，平均調幅依公司營運狀況公告（近 3 年平均 3%-5%）；（2）晉升調薪：職級晉升時依新職級薪資結構調整；（3）市場調薪：若個人薪資明顯低於市場水準，HR 會主動檢視調整；（4）所有調薪需由主管提案、HR 審核、事業群主管核准。",全體員工,敏感—避免談及具體個人薪資
HQ007,福利,怎麼申請員工持股信託？,"（1）資格：到職滿 1 年之正職員工；（2）申請方式：每年 1 月及 7 月開放申請（或異動），至 HR 系統填寫「員工持股信託申報表」；（3）每月提撥金額：NT$1,000 - NT$5,000（以千元為單位）；（4）公司 1:1 配合提撥；（5）提領條件：提撥滿 2 年後可部分提領，離職時結算。詳細辦法見 HR 系統「持股信託專區」。",正職員工（滿 1 年）,
HQ008,福利,公司有托育服務嗎？怎麼申請？,"內湖總部設有企業托育中心，收托 0-3 歲幼兒。員工價每月 NT$12,000。名額約 40 名，依到職年資排序。每年 1 月及 7 月開放申請，至 HR 系統「托育服務」報名。候補名單會依序通知。中壢廠及其他廠區目前無托育服務，但提供育兒補助每月 NT$3,000。",正職員工（子女 0-3 歲）,
HQ009,訓練,公司有哪些訓練資源？,"（1）新進人員訓練：到職第 1 週安排公司介紹、制度說明、資安與工安課程；（2）線上學習平台：提供 LinkedIn Learning 帳號（公司付費），超過 16,000 門課程；（3）外部訓練補助：每人每年 NT$30,000；（4）證照獎勵金：取得指定證照最高 NT$20,000；（5）在職進修補助：碩博專班學費 50%（每學期上限 NT$50,000）；（6）各部門另有專業技術訓練，由 L&D 單位安排。",全體員工,
HQ010,離職,離職要提前多久通知？,"依勞基法規定：（1）到職未滿 3 個月：無需預告（但建議至少提前 3 日）；（2）滿 3 個月未滿 1 年：10 日前預告；（3）滿 1 年未滿 3 年：20 日前預告；（4）滿 3 年以上：30 日前預告。離職流程：HR 系統提交離職申請 → 主管面談 → HR 確認 → 業務交接 → 離職面談 → 最後工作日。",全體員工,
HQ011,出勤,忘記打卡怎麼辦？,"（1）當日發現：立即通知直屬主管並至 HR 系統「異常出勤」模組補登打卡；（2）事後發現：於 3 個工作日內補登，附說明原因，經主管核准；（3）每月未打卡補登上限 3 次，超過者記入出勤記錄影響考核；（4）連續 3 日未打卡且未事先請假者，公司將進行曠職處理。",全體員工,
HQ012,IT 支援,忘記密碼/帳號被鎖住怎麼辦？,"（1）Windows/M365 帳號：至 IT 自助密碼重設入口（https://passwordreset.liteon.com），透過手機驗證碼重設；（2）HR 系統帳號：聯繫 IT 服務台分機 9999 或 email it-helpdesk@liteon.com；（3）帳號連續輸錯密碼 5 次自動鎖定，需聯繫 IT 服務台解鎖；（4）密碼規則：至少 12 字元，含大小寫英文、數字與特殊符號，每 90 天須更換。",全體員工,此為 IT 問題但新人常向 HR 詢問
