政策編號,政策類別,政策名稱,適用對象,政策摘要,詳細內容,生效日期,最近修訂日期,負責部門,備註
P001,出勤管理,上下班時間與彈性工時,全體正職員工,"標準工時 08:30-17:30，提供彈性工時方案","（1）標準上班時間：08:30-17:30，午休 12:00-13:00（共 8 小時）；（2）彈性工時方案：可選擇 07:30-16:30 或 09:00-18:00，需經直屬主管核准並至 HR 系統登記；（3）核心時段 10:00-15:00 全員須在崗；（4）遲到早退每月累計超過 3 次，將記入考核。",2024-01-01,2025-07-01,人力資源處,彈性工時須於每季初申請
P002,出勤管理,遠距工作政策,全體正職員工（試用期除外）,"每週最多 2 天遠距工作，需主管核准","（1）適用條件：通過試用期之正職員工；（2）每週最多 2 天遠距工作，週一與週五不可同時遠距；（3）遠距工作日須於 09:00 前上線，並保持 Teams 在線狀態；（4）申請流程：HR 系統提交 → 直屬主管核准 → 當週生效；（5）遠距工作期間發生之工安事故，依公司工安規定辦理。",2024-03-01,2025-06-01,人力資源處,研發與生產線人員另有規定
P003,請假制度,年假（特別休假）,全體正職員工,"依年資給假，到職滿半年起享有","年資與天數對照：（1）滿 6 個月未滿 1 年：3 天；（2）滿 1 年未滿 2 年：7 天；（3）滿 2 年未滿 3 年：10 天；（4）滿 3 年未滿 5 年：14 天；（5）滿 5 年未滿 10 年：15 天；（6）滿 10 年以上：每年加 1 天，最多 30 天。當年度未休完之特休，可於次年 3 月底前休畢或折算工資。",2024-01-01,2025-01-01,人力資源處,依勞基法第 38 條辦理
P004,請假制度,病假與家庭照顧假,全體員工,"病假每年 30 天（半薪），家庭照顧假 7 天","（1）普通病假：每年 30 日，薪資折半發給；（2）住院病假：2 年內合計不超過 1 年；（3）病假超過 3 天須附醫療證明；（4）家庭照顧假：每年 7 日，薪資照給，需提供相關證明；（5）女性員工生理假每月 1 日，全年超過 3 日部分薪資折半。",2024-01-01,2025-01-01,人力資源處,依勞基法與性別平等工作法
P005,請假制度,婚假與喪假,全體員工,"婚假 8 天（薪資照給），喪假依親等 3-8 天","（1）婚假：8 日，自結婚登記日起 1 年內休畢，薪資照給；（2）喪假：父母/配偶/子女喪亡 8 日、祖父母/外祖父母/配偶父母 6 日、兄弟姊妹 3 日；（3）喪假自事實發生日起 100 日內休畢；（4）以上均薪資照給。",2024-01-01,2024-01-01,人力資源處,依勞基法辦理
P006,請假制度,產假與陪產假,全體員工,"產假 8 週（全薪），陪產檢及陪產假 7 天","（1）產假：分娩前後共 8 週（56 日），薪資照給（任職滿 6 個月以上）；（2）陪產檢及陪產假：7 日，薪資照給，自配偶分娩當日起 15 日內休畢；（3）流產假：懷孕滿 3 個月流產 4 週、未滿 3 個月流產 1 週；（4）安胎休養：經醫師診斷需安胎者，可請普通病假或留職停薪。",2024-01-01,2025-07-01,人力資源處,依性別平等工作法辦理
P007,考核制度,績效考核制度,全體正職員工,"每年兩次考核，採用 OKR + 行為評量","（1）考核週期：上半年（1-6 月）與下半年（7-12 月）各一次；（2）考核架構：OKR 目標達成 60% + 核心行為評量 40%；（3）評等：S（卓越 10%）、A（優良 25%）、B（良好 50%）、C（待改善 12%）、D（不合格 3%）；（4）考核結果影響：年終獎金係數、調薪幅度、晉升資格；（5）考核面談：主管須於考核後 2 週內完成一對一面談。",2024-01-01,2025-06-01,人力資源處,強制分配比例每年由人資委員會檢討
P008,薪酬福利,年終獎金,全體正職員工,"保障年終 2 個月，依績效最高可達 6 個月","（1）保障年終：2 個月（到職未滿 1 年按比例發放）；（2）績效獎金：依考核等級，S 級最高可達額外 4 個月（合計 6 個月）；（3）發放時間：農曆年前 2 週；（4）發放條件：發放日須在職；（5）到職未滿 3 個月者不適用績效獎金。",2024-01-01,2025-01-01,人力資源處 / 財務處,金額僅供參考，實際依當年度公司營運狀況調整
P009,薪酬福利,員工持股信託,全體正職員工（滿 1 年）,"公司提撥 100% 配合款，每月最高扣薪 NT$5,000","（1）參加資格：到職滿 1 年之正職員工；（2）員工每月自薪資提撥 NT$1,000 - NT$5,000；（3）公司配合提撥 100%（即 1:1 配合）；（4）信託財產投資標的：光寶科技股票（TWSE: 2301）；（5）鎖定期：提撥滿 2 年後始可部分提領；（6）離職時：員工提撥部分全額退還，公司提撥部分依年資比例退還（滿 3 年 50%、滿 5 年 100%）。",2024-01-01,2025-03-01,人力資源處 / 財務處,
P010,訓練發展,教育訓練補助,全體正職員工,"每年最高 NT$30,000 訓練補助","（1）補助範圍：與工作相關之外部訓練、證照考試、研討會、線上課程；（2）補助上限：每人每年 NT$30,000；（3）申請流程：事前申請 → 主管核准 → HR 備查 → 完訓後檢附收據與證書核銷；（4）證照獎勵：取得公司指定之專業證照（如 PMP、ISO 內稽員），另發一次性獎勵金 NT$5,000-NT$20,000；（5）服務義務：補助金額超過 NT$10,000 者，需承諾 1 年服務期。",2024-01-01,2025-06-01,人力資源處 / 學習發展中心,指定證照清單每年更新
