福利編號,福利類別,福利名稱,適用對象,福利內容,申請方式,備註
B001,保險,團體保險,全體正職員工,"公司全額負擔團體壽險（100 萬）、意外險（200 萬）、住院醫療險（每日 NT$2,000）、癌症險。配偶及子女可自費加保，享團體費率（約市價 6 折）。",到職自動加保；眷屬加保請於到職 30 日內至 HR 系統申請,每年 7 月可調整眷屬加保
B002,保險,海外出差旅行險,因公出差員工,"出差期間自動投保旅行平安險 500 萬 + 醫療險 50 萬 + 不便險。長期外派（超過 90 天）另有海外醫療保險方案。",出差單核准後自動投保，無需另行申請,
B003,健康,年度健康檢查,全體正職員工（滿 1 年）,"每年提供一次免費健康檢查，補助上限 NT$5,000。40 歲以上員工補助上限提高至 NT$8,000，增加心血管、腸胃鏡等項目。",每年 4-6 月開放預約，至特約醫院體檢後檢附收據核銷,特約醫院清單見 HR 公告
B004,健康,員工協助方案（EAP）,全體員工及眷屬,"提供免費心理諮商（每年 6 次）、法律諮詢（每年 3 次）、理財諮詢（每年 2 次）。全程保密，公司不會得知諮商內容。",撥打 EAP 專線 0800-xxx-xxx 或線上預約,完全保密
B005,餐飲,員工餐廳與餐費補助,全體員工,"總部及各廠區設有員工餐廳，午餐 / 晚餐均享補助：自助餐每餐員工價 NT$60（公司補助 NT$40）。夜班員工另提供免費宵夜。",持員工識別證至餐廳刷卡消費,各廠區菜色略有不同
B006,交通,交通車與停車補助,全體員工,"（1）免費交通車：每日行駛台北車站-內湖總部、桃園高鐵站-中壢廠等路線；（2）停車補助：自行開車每月補助 NT$1,500，機車 NT$500。",交通車路線見 HR 公告；停車補助至 HR 系統申請,
B007,家庭,育兒補助,正職員工（子女 0-6 歲）,"每名子女每月補助 NT$3,000，至子女滿 6 歲止（不與政府育兒津貼衝突，可同時領取）。雙薪家庭（夫妻皆為光寶員工）僅擇一申請。",檢附子女出生證明或戶籍謄本至 HR 系統申請,
B008,家庭,托育服務,正職員工（子女 0-3 歲）,"內湖總部設有企業托育中心，收托 0-3 歲幼兒。員工價每月 NT$12,000（市價約 NT$18,000-25,000）。名額有限，依到職年資排序。",每年 1 月及 7 月開放申請，HR 系統報名,名額約 40 名
B009,生活,社團活動補助,全體員工,"公司補助各類社團活動經費，現有社團包含：路跑社、瑜珈社、攝影社、桌遊社、籃球社等共 15 個社團。每社每年補助 NT$50,000-100,000。",至 HR 系統報名參加現有社團；新設社團需 15 人以上連署,
B010,假期,優於法令之假期,全體正職員工,"（1）志工假：每年 1 天（薪資照給）；（2）心理健康假：每年 2 天（薪資照給，無需證明）；（3）搬家假：每年 1 天（薪資照給，需提供租約或購屋證明）；（4）寵物喪假：1 天（無薪）。",於 HR 系統申請，主管核准後生效,心理健康假為 2025 年新增福利
B011,進修,在職進修補助,正職員工（滿 2 年）,"就讀碩士 / 博士在職專班，學費補助 50%（每學期上限 NT$50,000）。須與工作相關且經主管及 HR 核准。畢業後需服務滿 2 年。",檢附入學通知與課程大綱至 HR 申請,每年限額 20 名
B012,退休,退休金制度,全體員工,"（1）新制：依勞退條例，公司每月提撥薪資 6% 至個人退休金專戶；（2）員工可自願提撥 0%-6%（免稅）；（3）光寶另提供額外 0.5% 自願提撥配合款（即員工提撥 6%，公司額外多提 0.5%）。",自願提撥於 HR 系統設定，隨時可調整比例,額外 0.5% 配合款為 2025 年新增福利
